SL.,Station,Year,Month,Date,Temperature (maximum),Temperature(minimum),Temperature(Average),Rainfall(mm),Humidity(percentage)
1,Sylhet (10705),1970,1,1/1/1970,23.9,11.37,17.635,62,76.52
2,Sylhet (10705),1970,2,1/2/1970,26.85,14.07,20.46,65,67.96
3,Sylhet (10705),1970,3,1/3/1970,29.92,17.86,23.89,60,66.26
4,Sylhet (10705),1970,4,1/4/1970,30.96,21.65,26.305,466,76.1
5,Sylhet (10705),1970,5,1/5/1970,31.22,23.08,27.15,851,80.84
6,Sylhet (10705),1970,6,1/6/1970,30.81,24.71,27.76,955,88.03
7,Sylhet (10705),1970,7,1/7/1970,30.11,24.62,27.365,1076,89.68
8,Sylhet (10705),1970,8,1/8/1970,31.09,25.16,28.125,662,87.1
9,Sylhet (10705),1970,9,1/9/1970,30.4,24.67,27.535,622,87.93
10,Sylhet (10705),1970,10,1/10/1970,29.47,22.1,25.785,608,86.13
11,Sylhet (10705),1970,11,1/11/1970,27.76,17.51,22.635,47,77.3
12,Sylhet (10705),1970,12,1/12/1970,26.18,13.62,19.9,0,73.45
13,Sylhet (10705),1971,1,1/1/1971,23.72,12.41,18.065,22,72.81
14,Sylhet (10705),1971,2,1/2/1971,26.71,13.14,19.925,7,66.89
15,Sylhet (10705),1971,3,1/3/1971,31.39,17.95,24.67,120,65.42
16,Sylhet (10705),1971,4,1/4/1971,31,20.99,25.995,315,74.93
17,Sylhet (10705),1971,5,1/5/1971,30.89,22.83,26.86,430,81.35
18,Sylhet (10705),1971,6,1/6/1971,30.26,24.69,27.475,731,87
19,Sylhet (10705),1971,7,1/7/1971,30.03,24.53,27.28,510,87.26
20,Sylhet (10705),1971,8,1/8/1971,29.89,24.32,27.105,571,86.42
21,Sylhet (10705),1971,9,1/9/1971,30.57,24.28,27.425,349,86.13
22,Sylhet (10705),1971,10,1/10/1971,29.75,22.92,26.335,259,82.97
23,Sylhet (10705),1971,11,1/11/1971,27.36,16.47,21.915,85,76.6
24,Sylhet (10705),1971,12,1/12/1971,26.27,14.05,20.16,4,74.23
25,Sylhet (10705),1972,1,1/1/1972,25.66,12.7,19.18,4,67.61
26,Sylhet (10705),1972,2,1/2/1972,25.1,12.58,18.84,40,62.9
27,Sylhet (10705),1972,3,1/3/1972,30.54,17.37,23.955,110,56.94
28,Sylhet (10705),1972,4,1/4/1972,28.37,19.72,24.045,445,77.93
29,Sylhet (10705),1972,5,1/5/1972,30.27,22.26,26.265,384,84.03
30,Sylhet (10705),1972,6,1/6/1972,29.92,23.67,26.795,829,87.53
31,Sylhet (10705),1972,7,1/7/1972,30.93,25.06,27.995,826,86.06
32,Sylhet (10705),1972,8,1/8/1972,31.2,24.6,27.9,479,86.39
33,Sylhet (10705),1972,9,1/9/1972,31.38,24.03,27.705,358,83.93
34,Sylhet (10705),1972,10,1/10/1972,30.5,21.61,26.055,302,80.55
35,Sylhet (10705),1972,11,1/11/1972,29.36,17.97,23.665,0,75.6
36,Sylhet (10705),1972,12,1/12/1972,26.3,13.38,19.84,0,70.84
37,Sylhet (10705),1973,1,1/1/1973,25.11,12.44,18.775,3,72.81
38,Sylhet (10705),1973,2,1/2/1973,27.18,14.18,20.68,20,66.89
39,Sylhet (10705),1973,3,1/3/1973,30.5,18.08,24.29,99,65.42
40,Sylhet (10705),1973,4,1/4/1973,31,20.99,25.995,315,74.93
41,Sylhet (10705),1973,5,1/5/1973,30.72,22.68,26.7,551,81.35
42,Sylhet (10705),1973,6,1/6/1973,30.67,24.42,27.545,788,87
43,Sylhet (10705),1973,7,1/7/1973,30.96,24.98,27.97,778,87.26
44,Sylhet (10705),1973,8,1/8/1973,31.44,25.05,28.245,603,86.42
45,Sylhet (10705),1973,9,1/9/1973,31.15,24.44,27.795,495,86.13
46,Sylhet (10705),1973,10,1/10/1973,30.72,22.5,26.61,198,82.97
47,Sylhet (10705),1973,11,1/11/1973,28.93,18.14,23.535,17,76.6
48,Sylhet (10705),1973,12,1/12/1973,26.27,14.05,20.16,4,74.23
49,Sylhet (10705),1974,1,1/1/1974,24.55,11.89,18.22,0,72.71
50,Sylhet (10705),1974,2,1/2/1974,27.73,12.8,20.265,0,59.86
51,Sylhet (10705),1974,3,1/3/1974,30.4,17.85,24.125,81,64.26
52,Sylhet (10705),1974,4,1/4/1974,30.03,21.01,25.52,396,78.47
53,Sylhet (10705),1974,5,1/5/1974,30.37,22.81,26.59,505,81.74
54,Sylhet (10705),1974,6,1/6/1974,29.68,24.04,26.86,1014,88.3
55,Sylhet (10705),1974,7,1/7/1974,28.55,24.36,26.455,1128,90.58
56,Sylhet (10705),1974,8,1/8/1974,30.51,25.09,27.8,854,86.77
57,Sylhet (10705),1974,9,1/9/1974,29.77,23.77,26.77,714,87.3
58,Sylhet (10705),1974,10,1/10/1974,30.57,23.42,26.995,448,86.55
59,Sylhet (10705),1974,11,1/11/1974,29.69,19.58,24.635,8,78.17
60,Sylhet (10705),1974,12,1/12/1974,25.17,12.57,18.87,0,74.71
61,Sylhet (10705),1975,1,1/1/1975,24.96,12.06,18.51,0,72.81
62,Sylhet (10705),1975,2,1/2/1975,27.21,14.42,20.815,31,66.89
63,Sylhet (10705),1975,3,1/3/1975,31.25,17.96,24.605,64,65.42
64,Sylhet (10705),1975,4,1/4/1975,31.63,21.1,26.365,255,74.93
65,Sylhet (10705),1975,5,1/5/1975,30.12,22.54,26.33,567,81.35
66,Sylhet (10705),1975,6,1/6/1975,30.67,24.42,27.545,788,87
67,Sylhet (10705),1975,7,1/7/1975,28.71,24.4,26.555,1061,87.26
68,Sylhet (10705),1975,8,1/8/1975,31.02,24.88,27.95,737,86.42
69,Sylhet (10705),1975,9,1/9/1975,30.06,24.37,27.215,466,86.13
70,Sylhet (10705),1975,10,1/10/1975,30.35,23.25,26.8,171,82.97
71,Sylhet (10705),1975,11,1/11/1975,27.52,17.76,22.64,92,76.6
72,Sylhet (10705),1975,12,1/12/1975,26.27,14.05,20.16,4,74.23
73,Sylhet (10705),1976,1,1/1/1976,25.43,12.33,18.88,0,69.77
74,Sylhet (10705),1976,2,1/2/1976,27.02,15.16,21.09,11,67.14
75,Sylhet (10705),1976,3,1/3/1976,29.56,18.65,24.105,323,70.39
76,Sylhet (10705),1976,4,1/4/1976,30.66,21.57,26.115,97,76.13
77,Sylhet (10705),1976,5,1/5/1976,31.18,22.32,26.75,437,80.87
78,Sylhet (10705),1976,6,1/6/1976,28.44,23.71,26.075,1155,89.67
79,Sylhet (10705),1976,7,1/7/1976,30.5,24.72,27.61,1096,87.16
80,Sylhet (10705),1976,8,1/8/1976,29.79,24.49,27.14,880,89.1
81,Sylhet (10705),1976,9,1/9/1976,31.59,24.21,27.9,224,83.37
82,Sylhet (10705),1976,10,1/10/1976,30.16,21.52,25.84,260,80.45
83,Sylhet (10705),1976,11,1/11/1976,28.9,19.15,24.025,45,79.03
84,Sylhet (10705),1976,12,1/12/1976,25.41,13.42,19.415,0,75.13
85,Sylhet (10705),1977,1,1/1/1977,24.12,11.65,17.885,16,70.35
86,Sylhet (10705),1977,2,1/2/1977,26.25,14.23,20.24,43,69.5
87,Sylhet (10705),1977,3,1/3/1977,30.52,19.47,24.995,133,71.35
88,Sylhet (10705),1977,4,1/4/1977,26.69,19.86,23.275,759,84.1
89,Sylhet (10705),1977,5,1/5/1977,28.84,21.95,25.395,387,82.29
90,Sylhet (10705),1977,6,1/6/1977,28.98,23.59,26.285,787,89.17
91,Sylhet (10705),1977,7,1/7/1977,31.04,25.4,28.22,516,87.19
92,Sylhet (10705),1977,8,1/8/1977,31.08,24.96,28.02,743,86.42
93,Sylhet (10705),1977,9,1/9/1977,31.74,24.84,28.29,104,83.77
94,Sylhet (10705),1977,10,1/10/1977,29.59,21.38,25.485,397,84.74
95,Sylhet (10705),1977,11,1/11/1977,28.05,18.6,23.325,54,80.9
96,Sylhet (10705),1977,12,1/12/1977,25.58,14.14,19.86,4,74.81
97,Sylhet (10705),1978,1,1/1/1978,23.38,10.58,16.98,0,71.48
98,Sylhet (10705),1978,2,1/2/1978,27.66,13.35,20.505,0,62.61
99,Sylhet (10705),1978,3,1/3/1978,30.95,16.8,23.875,50,58.03
100,Sylhet (10705),1978,4,1/4/1978,31.61,20.83,26.22,199,68.83
101,Sylhet (10705),1978,5,1/5/1978,29.08,22.25,25.665,791,84.1
102,Sylhet (10705),1978,6,1/6/1978,29.79,24.34,27.065,870,88.57
103,Sylhet (10705),1978,7,1/7/1978,30.89,24.84,27.865,722,86.29
104,Sylhet (10705),1978,8,1/8/1978,32.92,25.64,29.28,256,82.87
105,Sylhet (10705),1978,9,1/9/1978,30.67,24.3,27.485,335,87
106,Sylhet (10705),1978,10,1/10/1978,31.65,23.06,27.355,171,81.26
107,Sylhet (10705),1978,11,1/11/1978,28.33,18.55,23.44,2,78.63
108,Sylhet (10705),1978,12,1/12/1978,27.14,13.47,20.305,0,69
109,Sylhet (10705),1979,1,1/1/1979,24.93,12.3,18.615,10,72.42
110,Sylhet (10705),1979,2,1/2/1979,27.96,13.14,20.55,7,59.25
111,Sylhet (10705),1979,3,1/3/1979,31.16,17.55,24.355,58,57.58
112,Sylhet (10705),1979,4,1/4/1979,32.99,21.91,27.45,119,68
113,Sylhet (10705),1979,5,1/5/1979,32.25,23.09,27.67,356,78.48
114,Sylhet (10705),1979,6,1/6/1979,31.38,24.87,28.125,929,84.7
115,Sylhet (10705),1979,7,1/7/1979,30.02,24.91,27.465,1322,89.61
116,Sylhet (10705),1979,8,1/8/1979,31.33,25.37,28.35,288,85.42
117,Sylhet (10705),1979,9,1/9/1979,30.33,24,27.165,587,88
118,Sylhet (10705),1979,10,1/10/1979,30.12,21.6,25.86,249,82.71
119,Sylhet (10705),1979,11,1/11/1979,29.59,19.52,24.555,6,78.3
120,Sylhet (10705),1979,12,1/12/1979,25.77,14.69,20.23,33,76.71
121,Sylhet (10705),1980,1,1/1/1980,24.55,12.14,18.345,0,71.03
